id,brand,status,partner,mood,daypart_1,daypart_2,meal_size_1,meal_size_2,price,deal
1,Tacombi,Customer,Brandibble,Chillin with homies,Dinner,,Trapped with roommate,Party indoors,$$,
2,Brine Chicken,Customer,Chownow,TREAT YO SELF,Lunch,Dinner,Social distance,Trapped with roommate,$$,15% off first direct order
3,Dos Toros,Customer,GoParrot,Too cool for school,Lunch,Dinner,Social distance,Party indoors,$,"$10 off first order of $20 or more, free chips on every order"
4,Mexicue (when live),Customer,Lunchbox,Chillin with homies,Dinner,,Trapped with roommate,Party indoors,$$,
5,Gregorys Coffee (when live),Customer,Speed E Tab,Keep grindin,Breakfast,Afternoon Delight,Social distance,Party indoors,$,
6,Protein Bar & Kitchen,Customer,LevelUp,Keep grindin,Lunch,,Social distance,Trapped with roommate,$$,
7,Sweetberry,Customer,Chownow,Keep grindin,Lunch,,Social distance,Trapped with roommate,$,
8,Glaze,Prospect,GoParrot,Home comfort,Lunch,Dinner,Social distance,Party indoors,$,
9,Pure Green,Customer,GoParrot,Keep grindin,Breakfast,Afternoon Delight,Social distance,,$$,
10,Whitmans,Customer,Grubhub / Chownow,Chillin with the homies,Dinner,,Trapped with roommate,Party indoors,$$,
11,16 Handles,Customer,Lunchbox,TREAT YO SELF,Dessert,Afternoon Delight,Social distance,Party indoors,$,
12,Fields Good Chicken,Customer,LevelUp,It's a family affair,Lunch,Dinner,Social distance,Party indoors,$$,
13,Brodo Broth,Customer,Brandibble,Your body is a temple,Breakfast,Lunch,Social distance,Trapped with roommate,$$,
14,Schnippers,Prospect,Atware,Home comfort,Lunch,Dinner,Social distance,Party indoors,$$,
15,Sarge’s Deli,Customer,Atware,Home comfort,Lunch,Dinner,Trapped with roommate,Party indoors,$$,
16,Stone Bridge,Customer,Slice,It's a family affair,Dinner,,Trapped with roommate,Party indoors,$$,
17,Amma,Customer,Grubhub,Oh you fancy huh?,Dinner,Lunch,Trapped with roommate,Party indoors,$$$,
18,Dig Inn,Prospect,Brandibble,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$$,
19,Bombay Sandwich Company,Customer,9Fold,Your body is a temple,Lunch,,Social distance,,$$,
20,Grey Dog,Prospect,Chownow,Home comfort,Breakfast,Lunch,Social distance,Trapped with roommate,$$,
21,Otto’s Tacos,Prospect,Brandibble,Too cool for school,Lunch,Dinner,Social distance,Trapped with roommate,$,
22,Bareburger,Prospect,Lunchbox,TREAT YO SELF,Lunch,Dinner,Trapped with roommate,Party indoors,$$,
23,Naf Naf Grill,Prospect,Olo,Home comfort,Lunch,Dinner,Social distance,Party indoors,$,
24,by Chloe,Prospect,Brandibble,Too cool for school,Lunch,Dinner,Social distance,Trapped with roommate,$$,
25,Juice Press,Prospect,GoParrot,Keep grindin,Breakfast,Afternoon Delight,Social distance,,$$,
26,Just Salad,Prospect,Custom,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$,
27,Chopt,Prospect,Custom,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$$,
28,Junzi,Prospect,Custom,Chillin with homies,Lunch,Dinner,Social distance,Trapped with roommate,$$,
29,Luke’s Lobster,Prospect,Brandibble,TREAT YO SELF,Lunch,Dinner,Social distance,Trapped with roommate,$$,
30,fresh&co,Prospect,LevelUp,Your body is a temple,Lunch,,Social distance,Party indoors,$$,
31,Kobeyaki,Prospect,Como / Aloha,Home comfort,Lunch,Dinner,Social distance,Trapped with roommate,$$,
32,Sauce Pizzeria,Prospect,GoParrot,It's a family affair,Dinner,,Trapped with roommate,Party indoors,$,
33,LES Pizza,Prospect,GoParrot,It's a family affair,Dinner,,Trapped with roommate,Party indoors,$,
34,Ivan Ramen,Prospect,Chownow,Home comfort,Dinner,,Social distance,Trapped with roommate,$$,
35,honeygrow,Prospect,LevelUp,Your body is a temple,Lunch,Dinner,Social distance,Party indoors,$$,
36,ROTI Modern Mediterranean,Prospect,Brandibble,Home comfort,Lunch,,Social distance,Party indoors,$$,
37,Brown Bag Seafood,Prospect,Brandibble,Oh you fancy huh?,Lunch,,Social distance,Party indoors,$$,
38,Num Pang,Prospect,Brandibble,Too cool for school,Lunch,,Social distance,Trapped with roommate,$$,
39,Westville,Prospect,GoParrot,It's a family affair,Lunch,Dinner,Trapped with roommate,Party indoors,$$,
40,Fuku,Prospect,Lunchbox,Too cool for school,Lunch,Dinner,Social distance,Trapped with roommate,$$,
41,Doughnut Plant,Prospect,GoParrot,TREAT YO SELF,Dessert,Afternoon Delight,Social distance,Party indoors,$$,
42,Mulberry & Vine,Prospect,Brandibble,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$$,
43,Little Beet,Prospect,Olo,Your body is a temple,Lunch,Dinner,Social distance,Trapped with roommate,$$,
44,Melt Shop,Prospect,Olo,Home comfort,Lunch,Dinner,Social distance,Party indoors,$$,
45,Sticky’s Finger Joint,Prospect,Lunchbox,Too cool for school,Lunch,Dinner,Social distance,Party indoors,$$,
46,&pizza,Prospect,Custom,Too cool for school,Lunch,Dinner,Trapped with roommate,Party indoors,$$,
47,Chip,Prospect,Lunchbox,TREAT YO SELF,Dessert,Afternoon Delight,Social distance,Party indoors,$$,
48,Epic Burger,Prospect,Chownow,Home comfort,Lunch,Dinner,Social distance,Trapped with roommate,$$,
49,Oddfellows,Prospect,third-party,TREAT YO SELF,Dessert,Afternoon Delight,Social distance,Trapped with roommate,$$,
50,Beyond Sushi,Prospect,Custom,Your body is a temple,Lunch,Dinner,Social distance,Party indoors,$$,
51,Clover Food Lab,Prospect,Custom,,Lunch,Dinner,Social distance,Party indoors,$$,
52,Flour Bakery,Prospect,Caviar,,Dessert,Afternoon Delight,Social distance,Trapped with roommate,$$,
53,INDAY (when live),Prospect,Lunchbox,Your body is a temple,Lunch,,Social distance,Party indoors,$$,