id,brand,mood,daypart_1,daypart_2,meal_size_1,meal_size_2,price,deal
1,16 Handles,TREAT YO SELF,Dessert,Afternoon Delight,Social distance,Party indoors,$,
2,Bareburger,TREAT YO SELF,Lunch,Dinner,Trapped with roommate,Party indoors,$$,
3,Brine Chicken,TREAT YO SELF,Lunch,Dinner,Social distance,Trapped with roommate,$$,
4,Brodo Broth,Your body is a temple,Breakfast,Lunch,Social distance,Trapped with roommate,$$,
5,by Chloe,Too cool for school,Lunch,Dinner,Social distance,Trapped with roommate,$$,
6,Dig Inn,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$$,
7,Dos Toros,Too cool for school,Lunch,Dinner,Social distance,Party indoors,$,
8,Fields Good Chicken,It's a family affair,Lunch,Dinner,Social distance,Party indoors,$$,
9,fresh&co,Your body is a temple,Lunch,,Social distance,Party indoors,$$,
10,Glaze,Home comfort,Lunch,Dinner,Social distance,Party indoors,$,
11,Junzi,Chillin with homies,Lunch,Dinner,Social distance,Trapped with roommate,$$,
12,Just Salad,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$,
13,Luke’s Lobster,TREAT YO SELF,Lunch,Dinner,Social distance,Trapped with roommate,$$,
14,Naf Naf Grill,Home comfort,Lunch,Dinner,Social distance,Party indoors,$,
15,Otto’s Tacos,Too cool for school,Lunch,Dinner,Social distance,Trapped with roommate,$,
16,Protein Bar & Kitchen,Keep grindin,Lunch,,Social distance,Trapped with roommate,$$,
17,Pure Green,Keep grindin,Breakfast,Afternoon Delight,Social distance,,$$,
18,Schnippers,Home comfort,Lunch,Dinner,Social distance,Party indoors,$$,
19,Sweetberry,Keep grindin,Lunch,,Social distance,Trapped with roommate,$,
20,Tacombi,Chillin with homies,Dinner,,Trapped with roommate,Party indoors,$$,
21,Whitmans,Chillin with the homies,Dinner,,Trapped with roommate,Party indoors,$$,
22,BEC NYC,Home comfort,Breakfast,,Social distance,Trapped with roommate,$$,
23,Sweetcatch Poke,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$$,
24,The Kati Roll Company,Chillin with homies,Lunch,Dinner,Social distance,Trapped with roommate,$$,
25,Grey Dog,Home comfort,Breakfast,Lunch,Social distance,Trapped with roommate,$$,
26,Beyond Sushi,Your body is a temple,Lunch,Dinner,Social distance,Party indoors,$$,
27,Epic Burger,Home comfort,Lunch,Dinner,Social distance,Trapped with roommate,$$,
28,Chopt,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$$,
29,Kobeyaki,Home comfort,Lunch,Dinner,Social distance,Trapped with roommate,$$,
30,Sauce Pizzeria,It's a family affair,Dinner,,Trapped with roommate,Party indoors,$,
31,honeygrow,Your body is a temple,Lunch,Dinner,Social distance,Party indoors,$$,
32,Ivan Ramen,Home comfort,Dinner,,Social distance,Trapped with roommate,$$,
33,Num Pang,Too cool for school,Lunch,,Social distance,Trapped with roommate,$$,
34,ROTI Modern Mediterranean,Home comfort,Lunch,,Social distance,Party indoors,$$,
35,Westville,It's a family affair,Lunch,Dinner,Trapped with roommate,Party indoors,$$,
36,Doughnut Plant,TREAT YO SELF,Dessert,Afternoon Delight,Social distance,Party indoors,$$,
37,Mulberry & Vine,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$$,
38,Melt Shop,Home comfort,Lunch,Dinner,Social distance,Party indoors,$$,
39,Little Beet,Your body is a temple,Lunch,Dinner,Social distance,Trapped with roommate,$$,
40,LES Pizza,It's a family affair,Dinner,,Trapped with roommate,Party indoors,$,
41,Chip,TREAT YO SELF,Dessert,Afternoon Delight,Social distance,Party indoors,$$,
42,Sticky’s Finger Joint,Too cool for school,Lunch,Dinner,Social distance,Party indoors,$$,
43,Sarge’s Deli,Home comfort,Lunch,Dinner,Trapped with roommate,Party indoors,$$,
44,Amma,Oh you fancy huh?,Dinner,Lunch,Trapped with roommate,Party indoors,$$$,
45,&pizza,Too cool for school,Lunch,Dinner,Trapped with roommate,Party indoors,$$,
46,Juice Press,Keep grindin,Breakfast,Afternoon Delight,Social distance,,$$,
47,Stone Bridge,It's a family affair,Dinner,,Trapped with roommate,Party indoors,$$,
48,Wisefish Poke,Your body is a temple,Lunch,,Social distance,Party indoors,$$,
49,Buddha Bruddah,It's a family affair,Dinner,,Trapped with roommate,Party indoors,$$,
50,Two Birds Taphouse,It's a family affair,Dinner,,Party indoors,,$$,
51,Cafe Du Pain Bakery,Keep grindin,Breakfast,Afternoond Delight,Social distance,,$,
52,Pause Cafe,Keep grindin,Breakfast,,Social distance,,$,
53,Fjord Fish Market,TREAT YO SELF,Dinner,,Trapped with roommate,Party indoors,$$$,
54,Sabor Peruano,It's a family affair,Dinner,,Party indoors,Trapped with roommate,$$,
55,Paulie’s Brickhouse,It's a family affair,Lunch,Dinner,Trapped with roommate,Party indoors,$$,
56,JRs Bagels,Keep grindin,Breakfast,,Social distance,Trapped with roommate,$,
57,San Marzanoli,It's a family affair,Dinner,,Party indoors,Trapped with roommate,$,
58,Wolfnights,TREAT YO SELF,Lunch,,Social distance,Trapped with roommate,$,
59,Golden Diner,Home comfort,Breakfast,Lunch,Trapped with roommate,Party indoors,$$,
60,Pinch Chinese,Home comfort,Dinner,,Trapped with roommate,Party indoors,$$,
61,Russ & Daughters Cafe,TREAT YO SELF,Breakfast,Lunch,Social distance,Party indoors,$$$,
62,Anton's,Home comfort,Dinner,,Trapped with roommate,Party indoors,$$$,
63,La Compagnie des Vins Surnaturels,Oh you fancy huh?,Dinner,,Party indoors,,$$$,
64,Jeju Noodle Bar,Home comfort,Dinner,,Trapped with roommate,Party indoors,$$,
65,ATOBOY,Oh you fancy huh?,Dinner,,Trapped with roommate,Party indoors,$$$,
66,Tang Hotpot,Oh you fancy huh?,Dinner,,Party indoors,,$$$$,
67,Hunky Dory,Home comfort,Breakfast,Lunch,Social distance,Trapped with roommate,$$,
68,Schilling,Home comfort,Lunch,Dinner,Social distance,Trapped with roommate,$$$,
69,Mission Chinese Food,Oh you fancy huh?,Dinner,,Trapped with roommate,Party indoors,$$,
70,Pasquale Jones,Oh you fancy huh?,Dinner,,Trapped with roommate,Party indoors,$$$,
71,Adda,Chillin with homies,Lunch,,Social distance,Trapped with roommate,$$,
72,Dante,TREAT YO SELF,Dinner,,Trapped with roommate,,$$$,
73,Parm,TREAT YO SELF,Lunch,Dinner,Social distance,Party indoors,$$,
74,Baz Bagel,Keep grindin,Breakfast,,Social distance,,$$,
75,I Sodi,Oh you fancy huh?,Dinner,,Trapped with roommate,,$$$,
76,12 Chairs Cafe,Home comfort,Breakfast,,Social distance,,$$,
77,Hasaki,Oh you fancy huh?,Dinner,,Trapped with roommate,,$$$,
78,Gertie,Chillin with homies,Breakfast,,Trapped with roommate,,$$,
79,Alta Calidad,Home comfort,Lunch,,Social distance,,$$,
80,Di An Di,Home comfort,Lunch,,Social distance,,$$,
81,19 Cleveland,Chillin with homies,Lunch,,Trapped with roommate,,$$,
82,Bar Primi,Chillin with homies,Dinner,,Trapped with roommate,,$$$,
83,Maison Yaki,TREAT YO SELF,Dinner,,Social distance,,$$,
84,Cibo e Vino,Home comfort,Lunch,,Trapped with roommate,Party indoors,$$$,
85,Marlow Bistro,Oh you fancy huh?,Dinner,,Trapped with roommate,,$$$,
86,BABS,Oh you fancy huh?,Dinner,,Social distance,Trapped with roommate,$$$,
87,Mala Project,It's a family affair,Dinner,,Trapped with roommate,Party indoors,$$,
88,The Queensboro,Keep grindin,Lunch,,Social distance,,$$,
89,North Miznon,Home comfort,Lunch,,Trapped with roommate,,$$,
90,Little Frog,TREAT YO SELF,Dinner,,Social distance,Trapped with roommate,$$$,
91,Souvlaki GR,Keep grindin,Lunch,,Social distance,Trapped with roommate,$$,
92,Stone Park Cafe,Home comfort,Dinner,,Trapped with roommate,,$$$,
93,Buttermilk Channel,TREAT YO SELF,DInner,,Social distance,Trapped with roommate,$$$,
94,Tanoreen,Home comfort,Lunch,,Trapped with roommate,,$$,
95,Amali,It's a family affair,DInner,,Party indoors,,$$$,
96,Speedy Romeo,Chillin with homies,DInner,,Trapped with roommate,Party indoors,$$,
97,Sunday in Brooklyn,Chillin with homies,Lunch,,Trapped with roommate,,$$,
98,Kings Co Imperial,Chillin with homies,Lunch,,Trapped with roommate,Party indoors,$$,
99,Fausto,Home comfort,Dinner,,Social distance,Trapped with roommate,$$$,
100,King,Home comfort,Dinner,,Trapped with roommate,,$$$,
101,Insa,Home comfort,Dinner,,Trapped with roommate,,$$$,
102,Wayla,Chillin with homies,Dinner,,Trapped with roommate,,$$,
103,F&F Pizzeria,Chillin with homies,Dinner,,Trapped with roommate,Party indoors,$$,
104,Sylvia’s Restaurant,TREAT YO SELF,Dinner,,Social distance,Party indoors,$$$,
105,Le Succulent,Home comfort,Breakfast,Lunch,Social distance,Trapped with roommate,$$,
106,Vinateria,Oh you fancy huh?,Dinner,,Trapped with roommate,,$$,
107,Haenyeo,Home comfort,Dinner,,Trapped with roommate,,$$,
108,Spanish Diner at Little Spain,Chillin with homies,Lunch,,Trapped with roommate,,$$,
109,Le Garage,Oh you fancy huh?,Dinner,Lunch,Social distance,,$$,
110,Otis,Oh you fancy huh?,Dinner,,Social distance,,$$,
111,Jukai,Oh you fancy huh?,Dinner,,Social distance,,$$$$,
112,The Musket Room,Oh you fancy huh?,Dinner,,Trapped with roommate,,$$$,
113,Poulet Sans Tete,Home comfort,Dinner,,Trapped with roommate,,$$,
114,The Half Pint,Chillin with homies,Lunch,,Trapped with roommate,,$$,
115,Urban Vegan Kitchen,Home comfort,Lunch,,Social distance,,$$,
116,La Contenta Oeste,Chillin with homies,Dinner,,Trapped with roommate,,$$,
117,Le Rivage Restaurant,Home comfort,Dinner,,Trapped with roommate,,$$$,
118,Fish Cheeks,Chillin with homies,Dinner,,Trapped with roommate,,$$,
119,Alma Restaurant,It's a family affair,Dinner,,Party indoors,,$$,
120,HWA YUAN SZECHUAN,Chillin with homies,Dinner,,Party indoors,,$$$,
121,Mountain Bird,Home comfort,Dinner,,Trapped with roommate,,$$$,
122,GAUDIr,Home comfort,Dinner,,Trapped with roommate,,$$,
123,Estancia 460,It's a family affair,Dinner,,Party indoors,,$$,
124,Kubeh,It's a family affair,Dinner,,Party indoors,Trapped with roommate,$$,
125,Raku,Home comfort,Dinner,,Social distance,Trapped with roommate,$$,
126,Colonia Verde,Oh you fancy huh?,Dinner,Lunch,Trapped with roommate,,$$$,
127,Coco Pazzo,Home comfort,Dinner,,Social distance,,$$,
128,Bread & Tulips,It's a family affair,Dinner,,Party indoors,,$$,
129,The Bar Room,Oh you fancy huh?,Dinner,,Trapped with roommate,,$$,
130,Kichin,Chillin with homies,Dinner,,Trapped with roommate,,$$,
131,Dudley's,Home comfort,Lunch,,Social distance,,$$,
132,La Vela Dining & Bar,It's a family affair,Lunch,,Party indoors,,$$,
133,Endswell,Chillin with homies,Dinner,,Trapped with roommate,,$$,
134,Miss Lily's,Chillin with homies,Dinner,,Trapped with roommate,,$$,
135,Chez Nick,Oh you fancy huh?,Dinner,,Trapped with roommate,,$$,
136,Raoul's,Oh you fancy huh?,Dinner,,Social distance,,$$$$,
137,SOOGIL,Oh you fancy huh?,Dinner,,Trapped with roommate,,$$$,
138,Llama San,Oh you fancy huh?,Dinner,,Social distance,,$$$,
139,Elia Restaurant,Oh you fancy huh?,Dinner,,Trapped with roommate,,$$$,
140,Rubirosa,It's a family affair,Dinner,,Party indoors,,$$,
141,Sushi on Jones,Chillin with homies,Lunch,,Trapped with roommate,,$$,
142,Ristoro del Cinghiale,Home comfort,Dinner,,Social distance,,$$$,
143,Tsurutontan Union Square,Chillin with homies,Dinner,,Trapped with roommate,,$$,
144,MIMI,Home comfort,Lunch,,Social distance,,$$,
145,Mexicue,Chillin with homies,Dinner,,Party indoors,,$$,
146,The Meatball Shop,It's a family affair,Dinner,,Party indoors,,$$,
147,Carbone,Oh you fancy huh?,Dinner,,Trapped with roommate,,$$$$,
148,Sadelle's,It's a family affair,Breakfast,,Party indoors,,$$$,
149,Sweetwater,Chillin with homies,Dinner,,Trapped with roommate,,$$,
150,Springbone Kitchen,Home comfort,Breakfast,,Social distance,,$$,
151,Balthazar,TREAT YO SELF,Dinner,,Trapped with roommate,,$$$,
152,Made Nice,Keep grindin,Lunch,,Social distance,,$$,
153,Spoon Table & Bar,Home comfort,Dinner,,Trapped with roommate,,$$,
154,Creamline,It's a family affair,Lunch,,Party indoors,,$$,
155,Sons of Thunder,Your body is a temple,Lunch,,Social distance,,$$,
156,Friend of a Farmer,Home comfort,Breakfast,,Social distance,,$$,
157,Fiaschetteria Pistoia,Home comfort,Dinner,,Trapped with roommate,,$$,
158,Pies n' Thighs,Chillin with homies,Dinner,,Trapped with roommate,,$$,
159,Lucky Pickle Dumpling Co,TREAT YO SELF,Breakfast,,Social distance,,$$,
160,Roberta's Pizza,Chillin with homies,Dinner,,Party indoors,,$$,
161,The Gumbo Bros,Chillin with homies,Dinner,,Trapped with roommate,,$$,
162,Next Level Burger,It's a family affair,Dinner,,Party indoors,,$$,
163,Emily,Chillin with homies,Dinner,,Party indoors,,$$,
164,Belli,It's a family affair,Dinner,,Party indoors,,$$,
165,Lincoln Station,Chillin with homies,Dinner,,Party indoors,,$$,
166,Barboncino Pizza,It's a family affair,Dinner,,Party indoors,,$$,
167,Salumeria Rosi,It's a family affair,Dinner,,Party indoors,,$$,
168,Bartaco,It's a family affair,Lunch,,Party indoors,,$$,
169,Midnight Express Diner,It's a family affair,Breakfast,,Party indoors,,$$,
170,Insomnia Cookies,TREAT YO SELF,Dessert,Afternoon Delight,Social distance,Trapped with roommate,$$,
171,Seven Grams Caffè,Keep grindin,Breakfast,,Party indoors,,$$,
172,Gregorys Coffee,Keep grindin,Breakfast,,Social distance,Trapped with roommate,$$,
173,Juicy Platters,Home comfort,Lunch,,Social distance,Trapped with roommate,$,
174,Al Horno,Chillin with homies,Lunch,Dinner,Trapped with roommate,Party indoors,$$,
175,Hat Creek Burger Co.,TREAT YO SELF,Lunch,,Social distance,Trapped with roommate,$$,
176,Sac’s Place,It's a family affair,Dinner,,Trapped with roommate,Party indoors,$,
177,Max Bratwurst Und bier,Home comfort,Dinner,,Social distance,Trapped with roommate,$$,
178,Bund on Broadway,Oh you fancy huh?,Dinner,Lunch,Social distance,,$$$,
179,The Queen’s Room,It's a family affair,Dinner,Lunch,Trapped with roommate,,$$,
180,The Highwater,Chillin with homies,Dinner,,Party indoors,,$$,
181,Salad and Go,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$,
182,Choolaah,Home comfort,Lunch,Dinner,Trapped with roommate,,$$,
183,Go! Go! Curry!,Home comfort,Lunch,,Social distance,Trapped with roommate,$$,
184,Desi Galli,Home comfort,Lunch,,Social distance,Trapped with roommate,$$,
185,Milk Bar,TREAT YO SELF,Dessert,Afternoon Delight,Social distance,Party indoors,$$,
186,Maria Empanada,Home comfort,Dinner,Lunch,Trapped with roommate,Party indoors,$,
187,Antique Taco,Home comfort,Dinner,,Social distance,Trapped with roommate,$$,
188,Snappy Salads,Your body is a temple,Lunch,,Social distance,Trapped with roommate,$,
189,Pio Pio,Home comfort,Dinner,,Trapped with roommate,,$$,
190,Bondi Sushi,Oh you fancy huh?,Lunch,Dinner,Social distance,Party indoors,$$$,